Protein ID,Scientific Name,Lineage
Q8CIV3,Mus musculus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Mus > Mus
Q9SL70,Arabidopsis thaliana,Eukaryota > Viridiplantae > Streptophyta > Embryophyta > Tracheophyta > Spermatophyta > Magnoliopsida > eudicotyledons > Gunneridae > Pentapetalae > rosids > malvids > Brassicales > Brassicaceae > Camelineae > Arabidopsis
Q9WU01,Mus musculus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Mus > Mus
P21260,Owenia fusiformis,Eukaryota > Metazoa > Spiralia > Lophotrochozoa > Annelida > Polychaeta > Sedentaria > Canalipalpata > Sabellida > Oweniida > Oweniidae > Owenia
Q1A1A5,Chlorocebus pygerythrus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Primates > Haplorrhini > Catarrhini > Cercopithecidae > Cercopithecinae > Chlorocebus
P47953,Cricetulus longicaudatus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Cricetidae > Cricetinae > Cricetulus
Q17RR3,Homo sapiens,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Primates > Haplorrhini > Catarrhini > Hominidae > Homo
O52179,Allochromatium vinosum (strain ATCC 17899 / DSM 180 / NBRC 103801 / NCIMB 10441 / D),Bacteria > Pseudomonadota > Gammaproteobacteria > Chromatiales > Chromatiaceae > Allochromatium
Q5TJ56,Dictyostelium discoideum,Eukaryota > Amoebozoa > Evosea > Eumycetozoa > Dictyostelia > Dictyosteliales > Dictyosteliaceae > Dictyostelium
Q2J4A0,Frankia casuarinae (strain DSM 45818 / CECT 9043 / HFP020203 / CcI3),Bacteria > Actinomycetota > Actinomycetes > Frankiales > Frankiaceae > Frankia
P13378,Homo sapiens,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Primates > Haplorrhini > Catarrhini > Hominidae > Homo
Q21184,Caenorhabditis elegans,Eukaryota > Metazoa > Ecdysozoa > Nematoda > Chromadorea > Rhabditida > Rhabditina > Rhabditomorpha > Rhabditoidea > Rhabditidae > Peloderinae > Caenorhabditis
Q869P0,Dictyostelium discoideum,Eukaryota > Amoebozoa > Evosea > Eumycetozoa > Dictyostelia > Dictyosteliales > Dictyosteliaceae > Dictyostelium
Q3V050,Mus musculus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Mus > Mus
Q54ET3,Dictyostelium discoideum,Eukaryota > Amoebozoa > Evosea > Eumycetozoa > Dictyostelia > Dictyosteliales > Dictyosteliaceae > Dictyostelium
P12035,Homo sapiens,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Primates > Haplorrhini > Catarrhini > Hominidae > Homo
Q0III6,Bos taurus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Laurasiatheria > Artiodactyla > Ruminantia > Pecora > Bovidae > Bovinae > Bos
P54316,Rattus norvegicus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Rattus
Q4PBP6,Ustilago maydis (strain 521 / FGSC 9021),Eukaryota > Fungi > Dikarya > Basidiomycota > Ustilaginomycotina > Ustilaginomycetes > Ustilaginales > Ustilaginaceae > Ustilago
Q9ZSJ6,Arabidopsis thaliana,Eukaryota > Viridiplantae > Streptophyta > Embryophyta > Tracheophyta > Spermatophyta > Magnoliopsida > eudicotyledons > Gunneridae > Pentapetalae > rosids > malvids > Brassicales > Brassicaceae > Camelineae > Arabidopsis
Q54MB1,Dictyostelium discoideum,Eukaryota > Amoebozoa > Evosea > Eumycetozoa > Dictyostelia > Dictyosteliales > Dictyosteliaceae > Dictyostelium
P55316,Homo sapiens,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Primates > Haplorrhini > Catarrhini > Hominidae > Homo
Q3SZ79,Bos taurus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Laurasiatheria > Artiodactyla > Ruminantia > Pecora > Bovidae > Bovinae > Bos
Q6XZB0,Homo sapiens,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Primates > Haplorrhini > Catarrhini > Hominidae > Homo
Q76N89,Homo sapiens,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Primates > Haplorrhini > Catarrhini > Hominidae > Homo
Q3ULZ2,Mus musculus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Mus > Mus
Q4WQM6,Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293),Eukaryota > Fungi > Dikarya > Ascomycota > Pezizomycotina > Eurotiomycetes > Eurotiomycetidae > Eurotiales > Aspergillaceae > Aspergillus > Aspergillus subgen. Fumigati
Q13434,Homo sapiens,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Primates > Haplorrhini > Catarrhini > Hominidae > Homo
Q9Z207,Mus musculus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Mus > Mus
P9WLA1,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Bacteria > Actinomycetota > Actinomycetes > Mycobacteriales > Mycobacteriaceae > Mycobacterium > Mycobacterium tuberculosis complex
P0C8Z0,Oryza sativa subsp. indica,Eukaryota > Viridiplantae > Streptophyta > Embryophyta > Tracheophyta > Spermatophyta > Magnoliopsida > Liliopsida > Poales > Poaceae > BOP clade > Oryzoideae > Oryzeae > Oryzinae > Oryza > Oryza sativa
Q6PA23,Xenopus laevis,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Amphibia > Batrachia > Anura > Pipoidea > Pipidae > Xenopodinae > Xenopus > Xenopus
Q6IDB0,Arabidopsis thaliana,Eukaryota > Viridiplantae > Streptophyta > Embryophyta > Tracheophyta > Spermatophyta > Magnoliopsida > eudicotyledons > Gunneridae > Pentapetalae > rosids > malvids > Brassicales > Brassicaceae > Camelineae > Arabidopsis
K4B6C9,Solanum lycopersicum,Eukaryota > Viridiplantae > Streptophyta > Embryophyta > Tracheophyta > Spermatophyta > Magnoliopsida > eudicotyledons > Gunneridae > Pentapetalae > asterids > lamiids > Solanales > Solanaceae > Solanoideae > Solaneae > Solanum > Solanum subgen. Lycopersicon
Q9SGY7,Arabidopsis thaliana,Eukaryota > Viridiplantae > Streptophyta > Embryophyta > Tracheophyta > Spermatophyta > Magnoliopsida > eudicotyledons > Gunneridae > Pentapetalae > rosids > malvids > Brassicales > Brassicaceae > Camelineae > Arabidopsis
C0JAZ1,Loxosceles variegata,Eukaryota > Metazoa > Ecdysozoa > Arthropoda > Chelicerata > Arachnida > Araneae > Araneomorphae > Haplogynae > Scytodoidea > Sicariidae > Loxosceles
A0ZSF4,Mizuhopecten yessoensis,Eukaryota > Metazoa > Spiralia > Lophotrochozoa > Mollusca > Bivalvia > Autobranchia > Pteriomorphia > Pectinida > Pectinoidea > Pectinidae > Mizuhopecten
Q6IFZ6,Mus musculus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Mus > Mus
O61660,Caenorhabditis elegans,Eukaryota > Metazoa > Ecdysozoa > Nematoda > Chromadorea > Rhabditida > Rhabditina > Rhabditomorpha > Rhabditoidea > Rhabditidae > Peloderinae > Caenorhabditis
P49216,Oryza sativa subsp. japonica,Eukaryota > Viridiplantae > Streptophyta > Embryophyta > Tracheophyta > Spermatophyta > Magnoliopsida > Liliopsida > Poales > Poaceae > BOP clade > Oryzoideae > Oryzeae > Oryzinae > Oryza > Oryza sativa
Q8VBX1,Rattus norvegicus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Rattus
P38267,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Eukaryota > Fungi > Dikarya > Ascomycota > Saccharomycotina > Saccharomycetes > Saccharomycetales > Saccharomycetaceae > Saccharomyces
P55031,Felis catus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Laurasiatheria > Carnivora > Feliformia > Felidae > Felinae > Felis
Q3UMQ8,Mus musculus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Mus > Mus
Q2M2I5,Homo sapiens,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Primates > Haplorrhini > Catarrhini > Hominidae > Homo
P0CF52,Danio rerio,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Actinopterygii > Neopterygii > Teleostei > Ostariophysi > Cypriniformes > Danionidae > Danioninae > Danio
Q6Q249,Polistes dominula,Eukaryota > Metazoa > Ecdysozoa > Arthropoda > Hexapoda > Insecta > Pterygota > Neoptera > Endopterygota > Hymenoptera > Apocrita > Aculeata > Vespoidea > Vespidae > Polistinae > Polistini > Polistes
P39770,Drosophila melanogaster,Eukaryota > Metazoa > Ecdysozoa > Arthropoda > Hexapoda > Insecta > Pterygota > Neoptera > Endopterygota > Diptera > Brachycera > Muscomorpha > Ephydroidea > Drosophilidae > Drosophila > Sophophora
Q8VS60,Rubus stunt phytoplasma,Bacteria > Mycoplasmatota > Mollicutes > Acholeplasmatales > Acholeplasmataceae > Candidatus Phytoplasma > 16SrV (Elm yellows group)
P17892,Mus musculus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Mus > Mus
Q86AH4,Dictyostelium discoideum,Eukaryota > Amoebozoa > Evosea > Eumycetozoa > Dictyostelia > Dictyosteliales > Dictyosteliaceae > Dictyostelium
Q64425,Myocastor coypus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Hystricomorpha > Myocastoridae > Myocastor
D4B1B1,Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371),Eukaryota > Fungi > Dikarya > Ascomycota > Pezizomycotina > Eurotiomycetes > Eurotiomycetidae > Onygenales > Arthrodermataceae > Trichophyton
O00910,Dictyostelium discoideum,Eukaryota > Amoebozoa > Evosea > Eumycetozoa > Dictyostelia > Dictyosteliales > Dictyosteliaceae > Dictyostelium
F1LVW7,Rattus norvegicus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Rattus
Q9W705,Xenopus laevis,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Amphibia > Batrachia > Anura > Pipoidea > Pipidae > Xenopodinae > Xenopus > Xenopus
Q54QN4,Dictyostelium discoideum,Eukaryota > Amoebozoa > Evosea > Eumycetozoa > Dictyostelia > Dictyosteliales > Dictyosteliaceae > Dictyostelium
Q06000,Rattus norvegicus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Rattus
Q8VL42,Phytoplasma vitis,Bacteria > Mycoplasmatota > Mollicutes > Acholeplasmatales > Acholeplasmataceae > Candidatus Phytoplasma > 16SrV (Elm yellows group)
Q641F6,Xenopus laevis,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Amphibia > Batrachia > Anura > Pipoidea > Pipidae > Xenopodinae > Xenopus > Xenopus
Q5E9H0,Bos taurus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Laurasiatheria > Artiodactyla > Ruminantia > Pecora > Bovidae > Bovinae > Bos
Q55GR7,Dictyostelium discoideum,Eukaryota > Amoebozoa > Evosea > Eumycetozoa > Dictyostelia > Dictyosteliales > Dictyosteliaceae > Dictyostelium
Q55GW8,Dictyostelium discoideum,Eukaryota > Amoebozoa > Evosea > Eumycetozoa > Dictyostelia > Dictyosteliales > Dictyosteliaceae > Dictyostelium
A4QUA4,Pyricularia oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958),Eukaryota > Fungi > Dikarya > Ascomycota > Pezizomycotina > Sordariomycetes > Sordariomycetidae > Magnaporthales > Pyriculariaceae > Pyricularia
Q54B46,Dictyostelium discoideum,Eukaryota > Amoebozoa > Evosea > Eumycetozoa > Dictyostelia > Dictyosteliales > Dictyosteliaceae > Dictyostelium
Q5RBQ5,Pongo abelii,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Primates > Haplorrhini > Catarrhini > Hominidae > Pongo
Q9Y261,Homo sapiens,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Primates > Haplorrhini > Catarrhini > Hominidae > Homo
P11152,Mus musculus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Mus > Mus
Q64424,Myocastor coypus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Hystricomorpha > Myocastoridae > Myocastor
P80205,Mus musculus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Mus > Mus
P49923,Sus scrofa,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Laurasiatheria > Artiodactyla > Suina > Suidae > Sus
A2C7E2,Prochlorococcus marinus (strain MIT 9303),Bacteria > Cyanobacteriota > Cyanophyceae > Synechococcales > Prochlorococcaceae > Prochlorococcus
O88354,Ictidomys tridecemlineatus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Sciuromorpha > Sciuridae > Xerinae > Marmotini > Ictidomys
B3A0Q6,Lottia gigantea,Eukaryota > Metazoa > Spiralia > Lophotrochozoa > Mollusca > Gastropoda > Patellogastropoda > Lottioidea > Lottiidae > Lottia
Q54RG7,Dictyostelium discoideum,Eukaryota > Amoebozoa > Evosea > Eumycetozoa > Dictyostelia > Dictyosteliales > Dictyosteliaceae > Dictyostelium
Q27350,Drosophila melanogaster,Eukaryota > Metazoa > Ecdysozoa > Arthropoda > Hexapoda > Insecta > Pterygota > Neoptera > Endopterygota > Diptera > Brachycera > Muscomorpha > Ephydroidea > Drosophilidae > Drosophila > Sophophora
Q6CSD1,Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37),Eukaryota > Fungi > Dikarya > Ascomycota > Saccharomycotina > Saccharomycetes > Saccharomycetales > Saccharomycetaceae > Kluyveromyces
Q920F3,Rattus norvegicus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Rattus
P37704,Daucus carota,Eukaryota > Viridiplantae > Streptophyta > Embryophyta > Tracheophyta > Spermatophyta > Magnoliopsida > eudicotyledons > Gunneridae > Pentapetalae > asterids > campanulids > Apiales > Apiaceae > Apioideae > Scandiceae > Daucinae > Daucus > Daucus sect. Daucus
P49060,Papio anubis,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Primates > Haplorrhini > Catarrhini > Cercopithecidae > Cercopithecinae > Papio
Q6P8U6,Mus musculus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Mus > Mus
Q7V643,Prochlorococcus marinus (strain MIT 9313),Bacteria > Cyanobacteriota > Cyanophyceae > Synechococcales > Prochlorococcaceae > Prochlorococcus
P0CV33,Plasmopara viticola,Eukaryota > Sar > Stramenopiles > Oomycota > Peronosporales > Peronosporaceae > Plasmopara
Q558U1,Dictyostelium discoideum,Eukaryota > Amoebozoa > Evosea > Eumycetozoa > Dictyostelia > Dictyosteliales > Dictyosteliaceae > Dictyostelium
Q12361,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Eukaryota > Fungi > Dikarya > Ascomycota > Saccharomycotina > Saccharomycetes > Saccharomycetales > Saccharomycetaceae > Saccharomyces
Q8IW03,Homo sapiens,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Primates > Haplorrhini > Catarrhini > Hominidae > Homo
Q32L53,Bos taurus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Laurasiatheria > Artiodactyla > Ruminantia > Pecora > Bovidae > Bovinae > Bos
A0ZSF3,Pinctada maxima,Eukaryota > Metazoa > Spiralia > Lophotrochozoa > Mollusca > Bivalvia > Autobranchia > Pteriomorphia > Pterioida > Pterioidea > Pteriidae > Pinctada
Q6PFR5,Mus musculus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Mus > Mus
B0DOB5,Xenopus laevis,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Amphibia > Batrachia > Anura > Pipoidea > Pipidae > Xenopodinae > Xenopus > Xenopus
P23463,Mus musculus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Mus > Mus
Q8V7J1,Torque teno virus (isolate Human/China/CT23F/2001),Viruses > Anelloviridae > Alphatorquevirus
Q652I1,Oryza sativa subsp. japonica,Eukaryota > Viridiplantae > Streptophyta > Embryophyta > Tracheophyta > Spermatophyta > Magnoliopsida > Liliopsida > Poales > Poaceae > BOP clade > Oryzoideae > Oryzeae > Oryzinae > Oryza > Oryza sativa
A4WUN2,Cereibacter sphaeroides (strain ATCC 17025 / ATH 2.4.3),Bacteria > Pseudomonadota > Alphaproteobacteria > Rhodobacterales > Paracoccaceae > Cereibacter
Q03878,Daucus carota,Eukaryota > Viridiplantae > Streptophyta > Embryophyta > Tracheophyta > Spermatophyta > Magnoliopsida > eudicotyledons > Gunneridae > Pentapetalae > asterids > campanulids > Apiales > Apiaceae > Apioideae > Scandiceae > Daucinae > Daucus > Daucus sect. Daucus
Q8GVZ6,Oryza sativa subsp. japonica,Eukaryota > Viridiplantae > Streptophyta > Embryophyta > Tracheophyta > Spermatophyta > Magnoliopsida > Liliopsida > Poales > Poaceae > BOP clade > Oryzoideae > Oryzeae > Oryzinae > Oryza > Oryza sativa
P11150,Homo sapiens,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Primates > Haplorrhini > Catarrhini > Hominidae > Homo
Q6DBU8,Danio rerio,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Actinopterygii > Neopterygii > Teleostei > Ostariophysi > Cypriniformes > Danionidae > Danioninae > Danio
Q559A2,Dictyostelium discoideum,Eukaryota > Amoebozoa > Evosea > Eumycetozoa > Dictyostelia > Dictyosteliales > Dictyosteliaceae > Dictyostelium
Q32PY2,Rattus norvegicus,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Euarchontoglires > Glires > Rodentia > Myomorpha > Muroidea > Muridae > Murinae > Rattus
P0CH86,Vespula squamosa,Eukaryota > Metazoa > Ecdysozoa > Arthropoda > Hexapoda > Insecta > Pterygota > Neoptera > Endopterygota > Hymenoptera > Apocrita > Aculeata > Vespoidea > Vespidae > Vespinae > Vespula
D7EZN2,Sus scrofa,Eukaryota > Metazoa > Chordata > Craniata > Vertebrata > Euteleostomi > Mammalia > Eutheria > Laurasiatheria > Artiodactyla > Suina > Suidae > Sus
