IDA ID	IDA Text	Unique Proteins	Representative Accession	Representative Length	Representative Domains
63f5a077c4a05a4050ec3a30e70fc61046660353	PF00646:IPR001810-PF00151:IPR013818	2	A0AAW1AHJ9	675	PF00646{F-box}:IPR001810{F-box_dom}[31-67],PF00151{Lipase}:IPR013818{Lipase}[384-664]
6cc811187b1be6e636cb01184d2b3f660a18fcf3	PF00151:IPR013818-PF00656:IPR011600	2	A0A226D973	1120	PF00151{Lipase}:IPR013818{Lipase}[518-669],PF00656{Peptidase_C14}:IPR011600{Pept_C14_caspase}[843-1112]
6e858ee10cdd243dd9c3cbd3ba0fda4836b19932	PF00151:IPR013818-PF00151:IPR013818-PF00151:IPR013818-PF00151:IPR013818-PF00151:IPR013818-PF00151:IPR013818-PF00151:IPR013818	2	A0A0L0BKK0	2325	PF00151{Lipase}:IPR013818{Lipase}[64-339],PF00151{Lipase}:IPR013818{Lipase}[393-648],PF00151{Lipase}:IPR013818{Lipase}[706-936],PF00151{Lipase}:IPR013818{Lipase}[1057-1330],PF00151{Lipase}:IPR013818{Lipase}[1380-1654],PF00151{Lipase}:IPR013818{Lipase}[1704-1978],PF00151{Lipase}:IPR013818{Lipase}[2035-2310]
7728304376afe51bae43502bf6cde26e7c76168e	PF00082:IPR000209-PF00151:IPR013818	2	A0A0P7YPC1	1316	PF00082{Peptidase_S8}:IPR000209{Peptidase_S8/S53_dom}[21-197],PF00151{Lipase}:IPR013818{Lipase}[1128-1241]
7aaf11336abf17f89de1ccc11e39d5ce44cbd0fa	PF02985:IPR000357-PF02985:IPR000357-PF02985:IPR000357-PF22646:IPR054573-PF00151:IPR013818	2	W5JD51	962	PF02985{HEAT}:IPR000357{HEAT}[174-200],PF02985{HEAT}:IPR000357{HEAT}[210-239],PF02985{HEAT}:IPR000357{HEAT}[249-277],PF22646{PPP2R1A-like_HEAT}:IPR054573{PP2A/SF3B1-like_HEAT}[281-362],PF00151{Lipase}:IPR013818{Lipase}[619-889]
854dec20b1d76e2ddbad6367060f7ac6d254651b	PF00046:IPR001356-PF03826:IPR003654-PF00151:IPR013818	2	A0A556TN64	602	PF00046{Homeodomain}:IPR001356{HD}[61-117],PF03826{OAR}:IPR003654{OAR_dom}[251-268],PF00151{Lipase}:IPR013818{Lipase}[294-577]
9395b2184d574a0fbb898342f76853a6d650561d	PF00151:IPR013818-PF00078:IPR000477	2	A0A3L8D4C5	930	PF00151{Lipase}:IPR013818{Lipase}[68-245],PF00078{RVT_1}:IPR000477{RT_dom}[481-734]
9bbdadcd0ca8bfefba79a15b38628ee7de7a3be3	PF00151:IPR013818-PF01477:IPR001024-PF00151:IPR013818-PF00151:IPR013818-PF01477:IPR001024	2	A0A5N4DIH0	1062	PF00151{Lipase}:IPR013818{Lipase}[26-360],PF01477{PLAT}:IPR001024{PLAT/LH2_dom}[365-465],PF00151{Lipase}:IPR013818{Lipase}[520-626],PF00151{Lipase}:IPR013818{Lipase}[690-921],PF01477{PLAT}:IPR001024{PLAT/LH2_dom}[924-1012]
9faaa98e6aa38691b2c7f3bd59c8c6e99a544785	PF00151:IPR013818-PF10277:IPR019402	2	A0A922HPV2	794	PF00151{Lipase}:IPR013818{Lipase}[43-361],PF10277{Frag1}:IPR019402{Frag1/DRAM/Sfk1}[547-737]
a59577739ed83e85eeb07fddc6495df4c368fe54	PF00151:IPR013818-PF00151:IPR013818-PF15786:IPR031568	2	A0A5E4QF14	477	PF00151{Lipase}:IPR013818{Lipase}[57-140],PF00151{Lipase}:IPR013818{Lipase}[148-279],PF15786{PET117}:IPR031568{Pet117}[435-471]
b9761218fc14c6ac22444d4daa323109b3e03c50	PF00501:IPR000873-PF13193:IPR025110-PF00151:IPR013818	2	A0A194PV33	886	PF00501{AMP-binding}:IPR000873{AMP-dep_synth/lig_dom}[50-436],PF13193{AMP-binding_C}:IPR025110{AMP-bd_C}[487-562],PF00151{Lipase}:IPR013818{Lipase}[607-870]
bf4e391b5bd9297b31608ef3794b347c6edf72e2	PF00151:IPR013818-PF00089:IPR001254	2	A0A9J6BGN8	913	PF00151{Lipase}:IPR013818{Lipase}[44-347],PF00089{Trypsin}:IPR001254{Trypsin_dom}[615-846]
ce3afe533f2b27853f97b55691959a1e964fd876	PF00362:IPR002369-PF00151:IPR013818-PF00353:IPR001343-PF00353:IPR001343-PF00353:IPR001343	2	A0A2G4F6E3	1253	PF00362{Integrin_beta}:IPR002369{Integrin_bsu_VWA}[331-567],PF00151{Lipase}:IPR013818{Lipase}[694-838],PF00353{HemolysinCabind}:IPR001343{Hemolysn_Ca-bd}[1023-1056],PF00353{HemolysinCabind}:IPR001343{Hemolysn_Ca-bd}[1060-1092],PF00353{HemolysinCabind}:IPR001343{Hemolysn_Ca-bd}[1123-1157]
d82448474d0909f635603b911775dc5d05a45595	PF00689:IPR006068-PF00151:IPR013818	2	A0A819DGY7	428	PF00689{Cation_ATPase_C}:IPR006068{ATPase_P-typ_cation-transptr_C}[80-274],PF00151{Lipase}:IPR013818{Lipase}[289-378]
ded924fceff3cb6ff4c270bc75b0de8c09f664cc	PF00151:IPR013818-PF00732:IPR000172-PF05199:IPR007867-PF00732:IPR000172-PF05199:IPR007867	2	A0A182F965	1637	PF00151{Lipase}:IPR013818{Lipase}[93-321],PF00732{GMC_oxred_N}:IPR000172{GMC_OxRdtase_N}[431-727],PF05199{GMC_oxred_C}:IPR007867{GMC_OxRtase_C}[837-979],PF00732{GMC_oxred_N}:IPR000172{GMC_OxRdtase_N}[1070-1365],PF05199{GMC_oxred_C}:IPR007867{GMC_OxRtase_C}[1475-1617]
e19d36e3645bdfea9b6e82eabf4a295d5b3823a8	PF00151:IPR013818-PF00022:IPR004000	2	A0A8D8W4I3	145	PF00151{Lipase}:IPR013818{Lipase}[40-118],PF00022{Actin}:IPR004000{Actin}[106-144]
ec603d2df98a8f89d5fb5bae17b0ea7b22f1e000	PF00151:IPR013818-PF00056:IPR001236	2	N6TY43	663	PF00151{Lipase}:IPR013818{Lipase}[4-287],PF00056{Ldh_1_N}:IPR001236{Lactate/malate_DH_N}[317-460]
f3effce496bbac019a2b0c9274d1bbd2435daa80	PF00151:IPR013818-PF01477:IPR001024-PF00151:IPR013818	2	A0A131ZWD0	1252	PF00151{Lipase}:IPR013818{Lipase}[1-329],PF01477{PLAT}:IPR001024{PLAT/LH2_dom}[353-451],PF00151{Lipase}:IPR013818{Lipase}[789-1097]
ff7e84de72c94ceafedc7c3f376ccc9f3f03b94b	PF13517:IPR013517-PF00151:IPR013818	2	A0A351LB51	448	PF13517{FG-GAP_3}:IPR013517{FG-GAP}[12-80],PF00151{Lipase}:IPR013818{Lipase}[165-307]
ffb556681eee7552398e856d777185448f6e2d67	PF00151:IPR013818-PF01477:IPR001024-PF20434:IPR049492	2	A0A6A4SPS2	1015	PF00151{Lipase}:IPR013818{Lipase}[60-344],PF01477{PLAT}:IPR001024{PLAT/LH2_dom}[349-478],PF20434{BD-FAE}:IPR049492{BD-FAE-like_dom}[756-962]
02f4fd9c61ca8749efbe3c4ad37ce307c08f6d02	PF00135:IPR002018-PF00135:IPR002018-PF00151:IPR013818-PF00151:IPR013818-PF00135:IPR002018	1	A0AAN9Y9I7	1688	PF00135{COesterase}:IPR002018{CarbesteraseB}[6-403],PF00135{COesterase}:IPR002018{CarbesteraseB}[420-801],PF00151{Lipase}:IPR013818{Lipase}[846-1099],PF00151{Lipase}:IPR013818{Lipase}[1123-1362],PF00135{COesterase}:IPR002018{CarbesteraseB}[1369-1683]
03a9402d720403eead7b1a1c3573456a2dbd2ed3	PF00151:IPR013818-PF03731:IPR005161	1	A0A1A9WQ29	422	PF00151{Lipase}:IPR013818{Lipase}[28-240],PF03731{Ku_N}:IPR005161{Ku_N}[314-413]
04dd14d53cc51ec370d257e6199b06f5d5f80bd3	PF00151:IPR013818-PF00151:IPR013818-PF01477:IPR001024-PF00151:IPR013818-PF01477:IPR001024	1	S7N728	1433	PF00151{Lipase}:IPR013818{Lipase}[341-456],PF00151{Lipase}:IPR013818{Lipase}[507-842],PF01477{PLAT}:IPR001024{PLAT/LH2_dom}[847-935],PF00151{Lipase}:IPR013818{Lipase}[984-1319],PF01477{PLAT}:IPR001024{PLAT/LH2_dom}[1324-1427]
