,GO_ID,GO_Term,Count_Prot_Dataset,Count_Prot_SwissProt,Count_Prot_SwissProt_Actual,Percentage_Dataset,Percentage_SwissProt,Fold_Enrichment,P_Value_Two_Tail,P_Value_Greater,P_Value_Less
11,GO:0002080,C:acrosomal membrane,4,111,115,7.02,0.0208492725,336.58,7.017777777840811e-10,7.017777777840811e-10,0.9999999999985033
28,GO:0005102,F:signaling receptor binding,6,1254,1260,10.53,0.2284355069,46.08,4.610576926256602e-09,4.610576926256602e-09,0.9999999999236401
80,GO:0030299,P:intestinal cholesterol absorption,3,32,35,5.26,0.0063454307,829.44,6.82907423426322e-09,6.82907423426322e-09,0.9999999999946522
72,GO:0006641,P:triglyceride metabolic process,4,206,210,7.02,0.0380725845,184.32,7.934676654396447e-09,7.934676654396445e-09,0.9999999999685996
81,GO:0061365,P:positive regulation of triglyceride lipase activity,2,0,2,3.51,0.000362596,9676.81,1.0489626946420112e-08,1.0489626946420112e-08,1.0
68,GO:0043434,P:response to peptide hormone,4,243,247,7.02,0.0447806113,156.71,1.5208390781265205e-08,1.5208390781265208e-08,0.9999999999290093
60,GO:0006968,P:cellular defense response,3,78,81,5.26,0.0146851397,358.4,8.872306361856803e-08,8.872306361856799e-08,0.9999999998306708
76,GO:0030301,P:cholesterol transport,3,100,103,5.26,0.0186736962,281.85,1.8360813344271516e-07,1.8360813344271516e-07,0.9999999995507793
52,GO:0055091,P:phospholipid homeostasis,3,111,114,5.26,0.0206679744,254.65,2.494501900760605e-07,2.494501900760605e-07,0.9999999993225799
75,GO:0008203,P:cholesterol metabolic process,4,499,503,7.02,0.0911929047,76.95,2.5967743957049885e-07,2.596774395704988e-07,0.9999999975119721
67,GO:0033993,P:response to lipid,3,131,134,5.26,0.0242939349,216.64,4.06139686294383e-07,4.06139686294383e-07,0.9999999986984286
85,GO:0032722,P:positive regulation of chemokine production,3,134,137,5.26,0.0248378289,211.9,4.341528805111448e-07,4.3415288051114497e-07,0.9999999985768055
66,GO:0051384,P:response to glucocorticoid,3,247,250,5.26,0.0453245053,116.12,2.642650190905965e-06,2.642650190905965e-06,0.9999999840381518
83,GO:0006658,P:phosphatidylserine metabolic process,2,21,23,3.51,0.0041698545,841.46,2.650173908844698e-06,2.650173908844698e-06,0.9999999981505042
56,GO:0007584,P:response to nutrient,3,255,258,5.26,0.0467748895,112.52,2.9039328309338646e-06,2.903932830933865e-06,0.9999999818923866
49,GO:0005769,C:early endosome,4,1266,1270,7.02,0.2302484871,30.48,1.0021913599583038e-05,1.0021913599583038e-05,0.9999997567131661
86,GO:0005737,C:cytoplasm,1,127724,127725,1.75,23.1562897723,0.08,1.0358364612112781e-05,0.9999996979584203,5.49005647216643e-06
27,GO:0042803,F:protein homodimerization activity,6,4820,4826,10.53,0.8749442509,12.03,1.107124727615101e-05,1.107124727615101e-05,0.9999992956417163
18,GO:0005886,C:plasma membrane,20,69663,69683,35.09,12.6333900192,2.78,1.1647379870469855e-05,1.1647379870469855e-05,0.9999970999956016
78,GO:0005576,C:extracellular region,12,26998,27010,21.05,4.8968595557,4.3,1.6973550328441453e-05,1.6973550328441453e-05,0.9999970325178743
89,GO:0030169,F:low-density lipoprotein particle binding,2,70,72,3.51,0.0130534575,268.8,2.668705203336408e-05,2.668705203336408e-05,0.9999999379402212
90,GO:0034382,P:chylomicron remnant clearance,2,84,86,3.51,0.0155916298,225.04,3.812617125065814e-05,3.8126171250658125e-05,0.9999998936171288
91,GO:0034373,P:intermediate-density lipoprotein particle remodeling,1,0,1,1.75,0.000181298,9676.81,0.00010332919412993629,0.0001033291941299363,1.0
69,GO:0006654,P:phosphatidic acid biosynthetic process,2,143,145,3.51,0.0262882131,133.47,0.0001084761908006373,0.00010847619080063732,0.9999994849362277
100,GO:0035478,F:chylomicron binding,1,2,3,1.75,0.0005438941,3225.6,0.0003099561145610136,0.00030995611456101347,0.9999999685332108
116,GO:0010034,P:response to acetate,1,3,4,1.75,0.0007251921,2419.2,0.00041325384292792726,0.00041325384292792715,0.9999999370706049
64,GO:0009791,P:post-embryonic development,2,343,345,3.51,0.0625478174,56.1,0.0006084397592593725,0.0006084397592593726,0.999993080189961
5,GO:0046872,F:metal ion binding,15,58956,58971,26.32,10.6913256149,2.46,0.0007467473435828155,0.0007467473435828155,0.999773067636205
129,GO:1900077,P:negative regulation of cellular response to insulin stimulus,1,7,8,1.75,0.0014503842,1209.6,0.0008263399019418605,0.0008263399019418605,0.9999997064075601
115,GO:0097006,P:regulation of plasma lipoprotein particle levels,1,10,11,1.75,0.0019942782,879.71,0.0011360443784234745,0.0011360443784234743,0.9999994234155496
94,GO:0042750,P:hibernation,1,12,13,1.75,0.0023568743,744.37,0.001342461631771524,0.001342461631771524,0.999999182407109
84,GO:0044241,P:lipid digestion,1,14,15,1.75,0.0027194703,645.12,0.0015488369767843338,0.0015488369767843338,0.9999988995404817
103,GO:0046222,P:aflatoxin metabolic process,1,15,16,1.75,0.0029007683,604.8,0.0016520089361738055,0.0016520089361738055,0.9999987424155681
82,GO:0036150,P:phosphatidylserine acyl-chain remodeling,1,18,19,1.75,0.0034446624,509.31,0.0019614619752211866,0.0019614619752211866,0.999998208299474
112,GO:0046473,P:phosphatidic acid metabolic process,1,19,20,1.75,0.0036259604,483.84,0.0020645920452999006,0.0020645920452998998,0.9999980093539476
114,GO:0046337,P:phosphatidylethanolamine metabolic process,1,20,21,1.75,0.0038072584,460.8,0.002167711645350845,0.0021677116453508445,0.9999977999584846
128,GO:0017129,F:triglyceride binding,1,23,24,1.75,0.0043511525,403.2,0.0024770076378203645,0.0024770076378203636,0.9999971090933316
111,GO:0046461,P:neutral lipid catabolic process,1,31,32,1.75,0.0058015367,302.4,0.003301336540773211,0.003301336540773211,0.9999948075089036
110,GO:0034383,P:low-density lipoprotein particle clearance,1,38,39,1.75,0.0070706228,248.12,0.004022075306813096,0.004022075306813096,0.9999922462773754
93,GO:0010884,P:positive regulation of lipid storage,1,38,39,1.75,0.0070706228,248.12,0.004022075306813096,0.004022075306813096,0.9999922462773754
98,GO:0008126,F:acetylesterase activity,1,42,43,1.75,0.0077958149,225.04,0.004433696108322358,0.004433696108322357,0.999990553642855
119,GO:0009743,P:response to carbohydrate,1,43,44,1.75,0.0079771129,219.93,0.004536575191822003,0.004536575191822003,0.9999901044739287
127,GO:0009410,P:response to xenobiotic stimulus,2,1075,1077,3.51,0.195257969,17.97,0.0056603262720974715,0.005660326272097471,0.9997992869154371
124,GO:0032026,P:response to magnesium ion,1,54,55,1.75,0.0099713912,175.94,0.005667555984264613,0.005667555984264612,0.9999844776755087
107,GO:0046475,P:glycerophospholipid catabolic process,1,72,73,1.75,0.0132347556,132.56,0.007515529368100527,0.007515529368100526,0.9999725630229724
108,GO:0015012,P:heparan sulfate proteoglycan biosynthetic process,1,91,92,1.75,0.016679418,105.18,0.00946250733430964,0.00946250733430964,0.9999563522428905
121,GO:0070542,P:response to fatty acid,1,103,104,1.75,0.0188549942,93.05,0.010690243731889891,0.010690243731889891,0.9999441970590642
106,GO:0048589,P:developmental growth,1,109,110,1.75,0.0199427823,87.97,0.011303551166525223,0.011303551166525223,0.9999375643519917
95,GO:0031016,P:pancreas development,1,116,117,1.75,0.0212118685,82.71,0.012018604405835489,0.012018604405835489,0.9999293592388653
65,GO:0032094,P:response to food,1,132,133,1.75,0.0241126368,72.76,0.013651104483361796,0.013651104483361797,0.999908720007961
50,GO:0005794,C:Golgi apparatus,3,4879,4882,5.26,0.8850969401,5.95,0.01421183936086896,0.01421183936086896,0.9983337377394351
120,GO:0046688,P:response to copper ion,1,138,139,1.75,0.025200425,69.62,0.014262608523176963,0.014262608523176958,0.9999003055780219
117,GO:0043200,P:response to amino acid,1,143,144,1.75,0.0261069151,67.2,0.014771910693201202,0.014771910693201202,0.9998930129281967
104,GO:0032870,P:cellular response to hormone stimulus,1,161,162,1.75,0.0293702795,59.73,0.016603258814988656,0.016603258814988652,0.9998646511473065
113,GO:0046470,P:phosphatidylcholine metabolic process,1,163,164,1.75,0.0297328755,59.0,0.01680653537875818,0.016806535378758175,0.9998612964844621
118,GO:0051592,P:response to calcium ion,1,216,217,1.75,0.0393416706,44.59,0.02217834766724736,0.022178347667247352,0.999757650856427
122,GO:0009725,P:response to hormone,1,231,232,1.75,0.0420611409,41.71,0.02369342957309751,0.023693429573097512,0.9997231811783158
92,GO:0043495,F:protein-membrane adaptor activity,1,242,243,1.75,0.0440554192,39.82,0.024803023588358192,0.024803023588358192,0.9996964709517357
97,GO:0005902,C:microvillus,1,268,269,1.75,0.0487691677,35.97,0.02742077760340428,0.027420777603404268,0.9996285362427195
130,GO:0019432,P:triglyceride biosynthetic process,1,279,280,1.75,0.050763446,34.56,0.028526209544205698,0.028526209544205695,0.9995977698141782
109,GO:0001889,P:liver development,1,364,365,1.75,0.0661737778,26.51,0.03702666261009547,0.03702666261009547,0.9993197659737588
126,GO:0014070,P:response to organic cyclic compound,1,390,391,1.75,0.0708875263,24.75,0.039612175643425535,0.03961217564342553,0.9992206063517622
99,GO:0016746,F:acyltransferase activity,1,403,404,1.75,0.0732444006,23.95,0.04090237338334553,0.04090237338334552,0.9991685662358312
125,GO:0031667,P:response to nutrient levels,1,412,413,1.75,0.0748760828,23.43,0.041794589517903324,0.04179458951790332,0.9991315807613375
105,GO:0007623,P:circadian rhythm,1,619,620,1.75,0.1124047732,15.61,0.06209197096104945,0.062091970961049445,0.998067986035185
96,GO:0005770,C:late endosome,1,692,693,1.75,0.1256395288,13.96,0.06914874867612684,0.06914874867612683,0.9975974661083161
88,GO:0005788,C:endoplasmic reticulum lumen,1,843,844,1.75,0.15301553,11.47,0.08358050674989931,0.08358050674989932,0.9964708954370353
123,GO:0001666,P:response to hypoxia,1,945,946,1.75,0.1715079282,10.23,0.09320447870639115,0.09320447870639112,0.9955955534472718
102,GO:0008289,F:lipid binding,1,2180,2181,1.75,0.3954109845,4.44,0.2021376101734757,0.2021376101734757,0.978401559456562
87,GO:0008270,F:zinc ion binding,1,24665,24666,1.75,4.4718969937,0.39,0.5209817325937572,0.9262882572011957,0.2703967920127598
101,GO:0042802,F:identical protein binding,1,8355,8356,1.75,1.5149262661,1.16,0.5810775454954611,0.5810775454954611,0.7862290922226509
