,GO_ID,GO_Term,Depth,Propagated_Enrichment,Original_Enrichment,P_Value,Child_Count
15282,GO:0141047,molecular tag activity,1,0.0,1.0,1.0,2
247,GO:0071840,cellular component organization or biogenesis,2,6727.26,1.85,0.006849158944882,2
14,GO:0016787,hydrolase activity,2,5255.67,5.82,2.7543085834460743e-61,22
68,GO:0008152,metabolic process,2,4484.84,1.56,1.1920144436949903e-16,88
367,GO:0050789,regulation of biological process,2,3669.41,0.82,0.8111575015561117,24
148,GO:0044877,protein-containing complex binding,2,2242.42,6.29,4.6013467860655427e-07,70
251,GO:0005515,protein binding,2,1382.31,1.97,0.0079786832945606,109
32,GO:1901681,sulfur compound binding,2,704.76,49.33,7.814719086236846e-34,25
298,GO:0097367,carbohydrate derivative binding,2,704.76,1.45,0.0317116088656343,28
223,GO:0016020,membrane,2,692.51,1.68,0.0012496946676515,16
141,GO:0042221,response to chemical,2,611.57,5.48,2.9476306214458697e-08,58
307,GO:0003008,system process,2,576.62,3.1,0.0732178508355826,9
257,GO:0022611,dormancy process,2,517.48,67.95,0.0146108641305427,15
279,GO:0007586,digestion,2,448.48,29.0,0.0339081427775884,3
376,GO:0051234,establishment of localization,2,368.62,1.17,0.3890184838573894,6
35,GO:0032994,protein-lipid complex,2,352.38,223.31,3.555096770801921e-33,2
82,GO:0048878,chemical homeostasis,2,307.18,15.16,7.681198689701325e-14,7
347,GO:0008289,lipid binding,2,280.3,1.87,0.2892501286085216,12
362,GO:0051716,cellular response to stimulus,2,211.55,1.32,0.3017436760209215,13
211,GO:0034381,plasma lipoprotein particle clearance,2,172.49,65.95,0.0004432199178856,5
328,GO:0006950,response to stress,2,168.18,0.45,0.9673978893287642,30
118,GO:0031667,response to nutrient levels,2,106.44,15.64,1.05557321194767e-09,11
390,GO:0065009,regulation of molecular function,2,105.11,0.84,0.6997884525307811,10
310,GO:0003006,developmental process involved in reproduction,2,82.37,3.01,0.078495568650014,151
382,GO:0048856,anatomical structure development,2,57.5,1.23,0.4411191679565509,202
5,GO:0005615,extracellular space,2,52.77,52.77,9.223167247456196e-126,0
241,GO:0009719,response to endogenous stimulus,2,31.53,5.63,0.005767245404232,4
67,GO:0001906,cell killing,2,29.58,28.05,1.3964337997987692e-16,3
71,GO:0141060,disruption of anatomical structure in another organism,2,29.58,26.23,3.4832244033836686e-16,4
246,GO:0043226,organelle,2,26.49,0.41,0.99828571111966,5
389,GO:0099080,supramolecular complex,2,26.49,1.0,0.633396542443961,7
187,GO:0042995,cell projection,2,24.73,6.03,5.750813812531505e-05,6
366,GO:0030674,protein-macromolecule adaptor activity,2,22.88,1.28,0.5437219136072767,19
359,GO:0036094,small molecule binding,2,21.71,0.89,0.8317754118703046,22
129,GO:0009986,cell surface,2,16.84,16.84,4.022028830464228e-09,0
217,GO:0009607,response to biotic stimulus,2,10.96,3.92,0.0010133841384821,6
219,GO:0009605,response to external stimulus,2,10.96,3.67,0.0015520787849134,12
258,GO:0009791,post-embryonic development,2,10.85,10.85,0.014887556984116,16
370,GO:0031974,membrane-enclosed lumen,2,7.37,1.23,0.5587437726751305,2
323,GO:0007623,circadian rhythm,2,6.66,6.66,0.139536568763624,7
393,GO:0009628,response to abiotic stimulus,2,4.4,0.59,0.8179317581547156,15
175,GO:0005576,extracellular region,2,3.63,3.63,1.3455364389584616e-05,4
343,GO:0048589,developmental growth,2,3.62,3.62,0.2417001521874383,21
385,GO:1902494,catalytic complex,2,1.02,1.02,0.5410984983271115,119
153,GO:0016740,transferase activity,2,0.46,0.06,0.9999999801525052,16
14908,GO:0000133,polarisome,2,0.0,1.0,1.0,4
14909,GO:0000146,microfilament motor activity,2,0.0,1.0,1.0,2
14910,GO:0000399,cellular bud neck septin structure,2,0.0,1.0,1.0,3
14911,GO:0000785,chromatin,2,0.0,1.0,1.0,4
14912,GO:0000808,origin recognition complex,2,0.0,1.0,1.0,2
14913,GO:0000922,spindle pole,2,0.0,1.0,1.0,2
14914,GO:0000930,gamma-tubulin complex,2,0.0,1.0,1.0,2
14915,GO:0000940,outer kinetochore,2,0.0,1.0,1.0,1
14916,GO:0001114,protein-DNA-RNA complex,2,0.0,1.0,1.0,1
14917,GO:0001503,ossification,2,0.0,1.0,1.0,6
14918,GO:0001534,radial spoke,2,0.0,1.0,1.0,3
14919,GO:0001535,radial spoke head,2,0.0,1.0,1.0,3
14920,GO:0001750,photoreceptor outer segment,2,0.0,1.0,1.0,2
14921,GO:0001775,cell activation,2,0.0,1.0,1.0,13
14922,GO:0002139,stereocilia coupling link,2,0.0,1.0,1.0,2
14923,GO:0002200,somatic diversification of immune receptors,2,0.0,1.0,1.0,10
14924,GO:0002252,immune effector process,2,0.0,1.0,1.0,13
14925,GO:0002339,B cell selection,2,0.0,1.0,1.0,4
14926,GO:0002404,antigen sampling in mucosal-associated lymphoid tissue,2,0.0,1.0,1.0,2
14927,GO:0002507,tolerance induction,2,0.0,1.0,1.0,9
14928,GO:0002532,production of molecular mediator involved in inflammatory response,2,0.0,1.0,1.0,8
14929,GO:0003682,chromatin binding,2,0.0,1.0,1.0,4
14930,GO:0003700,DNA-binding transcription factor activity,2,0.0,1.0,1.0,5
14931,GO:0003777,microtubule motor activity,2,0.0,1.0,1.0,2
14932,GO:0003823,antigen binding,2,0.0,1.0,1.0,3
14933,GO:0005199,structural constituent of cell wall,2,0.0,1.0,1.0,1
14934,GO:0005200,structural constituent of cytoskeleton,2,0.0,1.0,1.0,3
14935,GO:0005201,extracellular matrix structural constituent,2,0.0,1.0,1.0,6
14936,GO:0005319,lipid transporter activity,2,0.0,1.0,1.0,5
14937,GO:0005549,odorant binding,2,0.0,1.0,1.0,1
14938,GO:0005581,collagen trimer,2,0.0,1.0,1.0,10
14939,GO:0005622,intracellular anatomical structure,2,0.0,1.0,1.0,6
14940,GO:0005657,replication fork,2,0.0,1.0,1.0,2
14941,GO:0005663,DNA replication factor C complex,2,0.0,1.0,1.0,2
14942,GO:0005667,transcription regulator complex,2,0.0,1.0,1.0,12
14943,GO:0005713,recombination nodule,2,0.0,1.0,1.0,2
14944,GO:0005737,cytoplasm,2,0.0,1.0,1.0,5
14945,GO:0005815,microtubule organizing center,2,0.0,1.0,1.0,5
14946,GO:0005821,intermediate layer of spindle pole body,2,0.0,1.0,1.0,1
14947,GO:0005822,inner plaque of spindle pole body,2,0.0,1.0,1.0,1
14948,GO:0005823,central plaque of spindle pole body,2,0.0,1.0,1.0,1
14949,GO:0005824,outer plaque of spindle pole body,2,0.0,1.0,1.0,1
14950,GO:0005825,half bridge of spindle pole body,2,0.0,1.0,1.0,1
14951,GO:0005829,cytosol,2,0.0,1.0,1.0,1
14952,GO:0005838,proteasome regulatory particle,2,0.0,1.0,1.0,2
14953,GO:0005852,eukaryotic translation initiation factor 3 complex,2,0.0,1.0,1.0,2
14954,GO:0005861,troponin complex,2,0.0,1.0,1.0,1
14955,GO:0005875,microtubule associated complex,2,0.0,1.0,1.0,7
14956,GO:0006276,plasmid maintenance,2,0.0,1.0,1.0,2
14957,GO:0006457,protein folding,2,0.0,1.0,1.0,7
14958,GO:0006903,vesicle targeting,2,0.0,1.0,1.0,5
14959,GO:0006955,immune response,2,0.0,1.0,1.0,9
14960,GO:0007017,microtubule-based process,2,0.0,1.0,1.0,9
14961,GO:0007049,cell cycle,2,0.0,1.0,1.0,2
14962,GO:0007117,budding cell bud growth,2,0.0,1.0,1.0,2
14963,GO:0007154,cell communication,2,0.0,1.0,1.0,12
14964,GO:0007155,cell adhesion,2,0.0,1.0,1.0,7
14965,GO:0007163,establishment or maintenance of cell polarity,2,0.0,1.0,1.0,11
14966,GO:0007272,ensheathment of neurons,2,0.0,1.0,1.0,2
14967,GO:0007389,pattern specification process,2,0.0,1.0,1.0,16
14968,GO:0007610,behavior,2,0.0,1.0,1.0,29
14969,GO:0007624,ultradian rhythm,2,0.0,1.0,1.0,1
14970,GO:0008037,cell recognition,2,0.0,1.0,1.0,5
14971,GO:0008186,"ATP-dependent activity, acting on RNA",2,0.0,1.0,1.0,3
14972,GO:0008219,cell death,2,0.0,1.0,1.0,1
14973,GO:0008278,cohesin complex,2,0.0,1.0,1.0,2
14974,GO:0008283,cell population proliferation,2,0.0,1.0,1.0,31
14975,GO:0008290,F-actin capping protein complex,2,0.0,1.0,1.0,1
14976,GO:0008540,"proteasome regulatory particle, base subcomplex",2,0.0,1.0,1.0,2
14977,GO:0008541,"proteasome regulatory particle, lid subcomplex",2,0.0,1.0,1.0,2
14978,GO:0009292,horizontal gene transfer,2,0.0,1.0,1.0,3
14979,GO:0009295,nucleoid,2,0.0,1.0,1.0,3
14980,GO:0009532,plastid stroma,2,0.0,1.0,1.0,8
14981,GO:0009566,fertilization,2,0.0,1.0,1.0,3
14982,GO:0009653,anatomical structure morphogenesis,2,0.0,1.0,1.0,88
14983,GO:0009838,abscission,2,0.0,1.0,1.0,4
14984,GO:0009845,seed germination,2,0.0,1.0,1.0,1
14985,GO:0009975,cyclase activity,2,0.0,1.0,1.0,20
14986,GO:0010014,meristem initiation,2,0.0,1.0,1.0,2
14987,GO:0010022,meristem determinacy,2,0.0,1.0,1.0,1
14988,GO:0010118,stomatal movement,2,0.0,1.0,1.0,2
14989,GO:0010339,external side of cell wall,2,0.0,1.0,1.0,1
14990,GO:0014823,response to activity,2,0.0,1.0,1.0,2
14991,GO:0014854,response to inactivity,2,0.0,1.0,1.0,2
14992,GO:0014874,response to stimulus involved in regulation of muscle adaptation,2,0.0,1.0,1.0,4
14993,GO:0016037,light absorption,2,0.0,1.0,1.0,2
14994,GO:0016049,cell growth,2,0.0,1.0,1.0,6
14995,GO:0016459,myosin complex,2,0.0,1.0,1.0,3
14996,GO:0016491,oxidoreductase activity,2,0.0,1.0,1.0,55
14997,GO:0016530,metallochaperone activity,2,0.0,1.0,1.0,5
14998,GO:0016597,amino acid binding,2,0.0,1.0,1.0,12
14999,GO:0016604,nuclear body,2,0.0,1.0,1.0,12
15000,GO:0016829,lyase activity,2,0.0,1.0,1.0,13
15001,GO:0016853,isomerase activity,2,0.0,1.0,1.0,16
15002,GO:0016874,ligase activity,2,0.0,1.0,1.0,10
15003,GO:0018995,host cellular component,2,0.0,1.0,1.0,3
15004,GO:0019028,viral capsid,2,0.0,1.0,1.0,2
15005,GO:0019043,establishment of viral latency,2,0.0,1.0,1.0,2
15006,GO:0019046,release from viral latency,2,0.0,1.0,1.0,1
15007,GO:0019069,viral capsid assembly,2,0.0,1.0,1.0,2
15008,GO:0019072,viral genome packaging,2,0.0,1.0,1.0,2
15009,GO:0019079,viral genome replication,2,0.0,1.0,1.0,2
15010,GO:0019081,viral translation,2,0.0,1.0,1.0,1
15011,GO:0019083,viral transcription,2,0.0,1.0,1.0,5
15012,GO:0019215,intermediate filament binding,2,0.0,1.0,1.0,1
15013,GO:0019725,cellular homeostasis,2,0.0,1.0,1.0,8
15014,GO:0019773,"proteasome core complex, alpha-subunit complex",2,0.0,1.0,1.0,2
15015,GO:0019774,"proteasome core complex, beta-subunit complex",2,0.0,1.0,1.0,2
15016,GO:0019814,immunoglobulin complex,2,0.0,1.0,1.0,12
15017,GO:0019835,cytolysis,2,0.0,1.0,1.0,1
15018,GO:0019882,antigen processing and presentation,2,0.0,1.0,1.0,14
15019,GO:0019898,extrinsic component of membrane,2,0.0,1.0,1.0,4
15020,GO:0019953,sexual reproduction,2,0.0,1.0,1.0,2
15021,GO:0019954,asexual reproduction,2,0.0,1.0,1.0,3
15022,GO:0020023,kinetoplast,2,0.0,1.0,1.0,1
15023,GO:0021700,developmental maturation,2,0.0,1.0,1.0,7
15024,GO:0022402,cell cycle process,2,0.0,1.0,1.0,50
15025,GO:0022403,cell cycle phase,2,0.0,1.0,1.0,11
15026,GO:0022404,molting cycle process,2,0.0,1.0,1.0,7
15027,GO:0022406,membrane docking,2,0.0,1.0,1.0,3
15028,GO:0022413,reproductive process in single-celled organism,2,0.0,1.0,1.0,8
15029,GO:0022601,menstrual cycle phase,2,0.0,1.0,1.0,3
15030,GO:0022602,ovulation cycle process,2,0.0,1.0,1.0,16
15031,GO:0022608,multicellular organism adhesion,2,0.0,1.0,1.0,1
15032,GO:0022857,transmembrane transporter activity,2,0.0,1.0,1.0,49
15033,GO:0030029,actin filament-based process,2,0.0,1.0,1.0,4
15034,GO:0030054,cell junction,2,0.0,1.0,1.0,3
15035,GO:0030076,light-harvesting complex,2,0.0,1.0,1.0,3
15036,GO:0030226,apolipoprotein receptor activity,2,0.0,1.0,1.0,1
15037,GO:0030228,lipoprotein particle receptor activity,2,0.0,1.0,1.0,4
15038,GO:0030234,enzyme regulator activity,2,0.0,1.0,1.0,23
15039,GO:0030246,carbohydrate binding,2,0.0,1.0,1.0,4
15040,GO:0030312,external encapsulating structure,2,0.0,1.0,1.0,6
15041,GO:0030371,translation repressor activity,2,0.0,1.0,1.0,4
15042,GO:0030427,site of polarized growth,2,0.0,1.0,1.0,7
15043,GO:0030428,cell septum,2,0.0,1.0,1.0,3
15044,GO:0030431,sleep,2,0.0,1.0,1.0,1
15045,GO:0030447,filamentous growth,2,0.0,1.0,1.0,4
15046,GO:0030545,signaling receptor regulator activity,2,0.0,1.0,1.0,3
15047,GO:0030588,pseudocleavage,2,0.0,1.0,1.0,2
15048,GO:0031074,nucleocytoplasmic transport complex,2,0.0,1.0,1.0,2
15049,GO:0031105,septin complex,2,0.0,1.0,1.0,2
15050,GO:0031128,developmental induction,2,0.0,1.0,1.0,5
15051,GO:0031252,cell leading edge,2,0.0,1.0,1.0,2
15052,GO:0031256,leading edge membrane,2,0.0,1.0,1.0,3
15053,GO:0031257,cell trailing edge membrane,2,0.0,1.0,1.0,1
15054,GO:0031409,pigment binding,2,0.0,1.0,1.0,1
15055,GO:0031503,protein-containing complex localization,2,0.0,1.0,1.0,27
15056,GO:0031967,organelle envelope,2,0.0,1.0,1.0,4
15057,GO:0031977,thylakoid lumen,2,0.0,1.0,1.0,3
15058,GO:0031984,organelle subcompartment,2,0.0,1.0,1.0,3
15059,GO:0031987,locomotion involved in locomotory behavior,2,0.0,1.0,1.0,1
15060,GO:0031992,energy transducer activity,2,0.0,1.0,1.0,1
15061,GO:0032158,septin band,2,0.0,1.0,1.0,2
15062,GO:0032161,cleavage apparatus septin structure,2,0.0,1.0,1.0,5
15063,GO:0032196,transposition,2,0.0,1.0,1.0,2
15064,GO:0032300,mismatch repair complex,2,0.0,1.0,1.0,7
15065,GO:0032432,actin filament bundle,2,0.0,1.0,1.0,4
15066,GO:0032451,demethylase activity,2,0.0,1.0,1.0,6
15067,GO:0032777,piccolo histone acetyltransferase complex,2,0.0,1.0,1.0,1
15068,GO:0032898,neurotrophin production,2,0.0,1.0,1.0,1
15069,GO:0032992,protein-carbohydrate complex,2,0.0,1.0,1.0,1
15070,GO:0032993,protein-DNA complex,2,0.0,1.0,1.0,16
15071,GO:0033036,macromolecule localization,2,0.0,1.0,1.0,5
15072,GO:0033058,directional locomotion,2,0.0,1.0,1.0,2
15073,GO:0033059,cellular pigmentation,2,0.0,1.0,1.0,1
15074,GO:0033061,DNA recombinase mediator complex,2,0.0,1.0,1.0,5
15075,GO:0033218,amide binding,2,0.0,1.0,1.0,22
15076,GO:0034337,RNA folding,2,0.0,1.0,1.0,1
15077,GO:0034646,organelle-enclosing lipid monolayer,2,0.0,1.0,1.0,2
15078,GO:0034992,microtubule organizing center attachment site,2,0.0,1.0,1.0,1
15079,GO:0035821,modulation of process of another organism,2,0.0,1.0,1.0,11
15080,GO:0035869,ciliary transition zone,2,0.0,1.0,1.0,1
15081,GO:0036166,phenotypic switching,2,0.0,1.0,1.0,2
15082,GO:0036284,tubulobulbar complex,2,0.0,1.0,1.0,2
15083,GO:0036338,viral membrane,2,0.0,1.0,1.0,2
15084,GO:0036379,myofilament,2,0.0,1.0,1.0,2
15085,GO:0036452,ESCRT complex,2,0.0,1.0,1.0,5
15086,GO:0036454,growth factor complex,2,0.0,1.0,1.0,3
15087,GO:0038023,signaling receptor activity,2,0.0,1.0,1.0,24
15088,GO:0039663,membrane fusion involved in viral entry into host cell,2,0.0,1.0,1.0,2
15089,GO:0039664,lysis of host organelle involved in viral entry into host cell,2,0.0,1.0,1.0,2
15090,GO:0039665,permeabilization of host organelle membrane involved in viral entry into host cell,2,0.0,1.0,1.0,2
15091,GO:0039678,symbiont genome ejection through host cell envelope,2,0.0,1.0,1.0,3
15092,GO:0042277,peptide binding,2,0.0,1.0,1.0,4
15093,GO:0042302,structural constituent of cuticle,2,0.0,1.0,1.0,2
15094,GO:0042303,molting cycle,2,0.0,1.0,1.0,3
15095,GO:0042330,taxis,2,0.0,1.0,1.0,5
15096,GO:0042555,MCM complex,2,0.0,1.0,1.0,1
15097,GO:0042562,hormone binding,2,0.0,1.0,1.0,15
15098,GO:0042597,periplasmic space,2,0.0,1.0,1.0,3
15099,GO:0042641,actomyosin,2,0.0,1.0,1.0,1
15100,GO:0042716,plasma membrane-derived chromatophore,2,0.0,1.0,1.0,1
15101,GO:0042763,intracellular immature spore,2,0.0,1.0,1.0,2
15102,GO:0043036,starch grain,2,0.0,1.0,1.0,2
15103,GO:0043176,amine binding,2,0.0,1.0,1.0,4
15104,GO:0043235,receptor complex,2,0.0,1.0,1.0,17
15105,GO:0043256,laminin complex,2,0.0,1.0,1.0,16
15106,GO:0043511,inhibin complex,2,0.0,1.0,1.0,2
15107,GO:0043696,dedifferentiation,2,0.0,1.0,1.0,1
15108,GO:0043934,sporulation,2,0.0,1.0,1.0,4
15109,GO:0044111,formation of structure involved in a symbiotic process,2,0.0,1.0,1.0,5
15110,GO:0044217,other organism part,2,0.0,1.0,1.0,2
15111,GO:0044232,organelle membrane contact site,2,0.0,1.0,1.0,10
15112,GO:0044292,dendrite terminus,2,0.0,1.0,1.0,4
15113,GO:0044297,cell body,2,0.0,1.0,1.0,2
15114,GO:0044298,cell body membrane,2,0.0,1.0,1.0,1
15115,GO:0044303,axon collateral,2,0.0,1.0,1.0,2
15116,GO:0044306,neuron projection terminus,2,0.0,1.0,1.0,1
15117,GO:0044403,biological process involved in symbiotic interaction,2,0.0,1.0,1.0,5
15118,GO:0044703,multi-organism reproductive process,2,0.0,1.0,1.0,5
15119,GO:0044706,multi-multicellular organism process,2,0.0,1.0,1.0,7
15120,GO:0044851,hair cycle phase,2,0.0,1.0,1.0,4
15121,GO:0045058,T cell selection,2,0.0,1.0,1.0,5
15122,GO:0045103,intermediate filament-based process,2,0.0,1.0,1.0,1
15123,GO:0045171,intercellular bridge,2,0.0,1.0,1.0,2
15124,GO:0045183,"translation factor activity, non-nucleic acid binding",2,0.0,1.0,1.0,1
15125,GO:0045251,electron transfer flavoprotein complex,2,0.0,1.0,1.0,2
15126,GO:0046727,capsomere,2,0.0,1.0,1.0,2
15127,GO:0046755,viral budding,2,0.0,1.0,1.0,5
15128,GO:0046794,transport of virus,2,0.0,1.0,1.0,3
15129,GO:0046812,host cell surface binding,2,0.0,1.0,1.0,1
15130,GO:0048066,developmental pigmentation,2,0.0,1.0,1.0,3
15131,GO:0048180,activin complex,2,0.0,1.0,1.0,3
15132,GO:0048471,perinuclear region of cytoplasm,2,0.0,1.0,1.0,1
15133,GO:0048532,anatomical structure arrangement,2,0.0,1.0,1.0,26
15134,GO:0048609,multicellular organismal reproductive process,2,0.0,1.0,1.0,26
15135,GO:0048646,anatomical structure formation involved in morphogenesis,2,0.0,1.0,1.0,105
15136,GO:0048647,polyphenic determination,2,0.0,1.0,1.0,3
15137,GO:0048771,tissue remodeling,2,0.0,1.0,1.0,8
15138,GO:0048869,cellular developmental process,2,0.0,1.0,1.0,18
15139,GO:0048870,cell motility,2,0.0,1.0,1.0,12
15140,GO:0048871,multicellular organismal-level homeostasis,2,0.0,1.0,1.0,7
15141,GO:0050817,coagulation,2,0.0,1.0,1.0,2
15142,GO:0050840,extracellular matrix binding,2,0.0,1.0,1.0,5
15143,GO:0050879,multicellular organismal movement,2,0.0,1.0,1.0,3
15144,GO:0051192,prosthetic group binding,2,0.0,1.0,1.0,1
15145,GO:0051233,spindle midzone,2,0.0,1.0,1.0,2
15146,GO:0051235,maintenance of location,2,0.0,1.0,1.0,7
15147,GO:0051301,cell division,2,0.0,1.0,1.0,18
15148,GO:0051410,detoxification of nitrogen compound,2,0.0,1.0,1.0,4
15149,GO:0051606,detection of stimulus,2,0.0,1.0,1.0,7
15150,GO:0051640,organelle localization,2,0.0,1.0,1.0,14
15151,GO:0051641,cellular localization,2,0.0,1.0,1.0,7
15152,GO:0051674,localization of cell,2,0.0,1.0,1.0,2
15153,GO:0051775,response to redox state,2,0.0,1.0,1.0,3
15154,GO:0060033,anatomical structure regression,2,0.0,1.0,1.0,6
15155,GO:0060187,cell pole,2,0.0,1.0,1.0,6
15156,GO:0060206,estrous cycle phase,2,0.0,1.0,1.0,4
15157,GO:0060361,flight,2,0.0,1.0,1.0,1
15158,GO:0060590,ATPase regulator activity,2,0.0,1.0,1.0,4
15159,GO:0061645,endocytic patch,2,0.0,1.0,1.0,1
15160,GO:0061687,detoxification of inorganic compound,2,0.0,1.0,1.0,10
15161,GO:0061696,pituitary gonadotropin complex,2,0.0,1.0,1.0,1
15162,GO:0061702,canonical inflammasome complex,2,0.0,1.0,1.0,6
15163,GO:0061783,peptidoglycan muralytic activity,2,0.0,1.0,1.0,5
15164,GO:0061842,microtubule organizing center localization,2,0.0,1.0,1.0,2
15165,GO:0061845,neuron projection branch point,2,0.0,1.0,1.0,1
15166,GO:0061919,process utilizing autophagic mechanism,2,0.0,1.0,1.0,2
15167,GO:0065008,regulation of biological quality,2,0.0,1.0,1.0,39
15168,GO:0070701,mucus layer,2,0.0,1.0,1.0,2
15169,GO:0070938,contractile ring,2,0.0,1.0,1.0,1
15170,GO:0071141,SMAD protein complex,2,0.0,1.0,1.0,2
15171,GO:0071554,cell wall organization or biogenesis,2,0.0,1.0,1.0,4
15172,GO:0071684,organism emergence from protective structure,2,0.0,1.0,1.0,2
15173,GO:0072341,modified amino acid binding,2,0.0,1.0,1.0,7
15174,GO:0072379,ER membrane insertion complex,2,0.0,1.0,1.0,3
15175,GO:0072562,blood microparticle,2,0.0,1.0,1.0,1
15176,GO:0080190,lateral growth,2,0.0,1.0,1.0,4
15177,GO:0090130,tissue migration,2,0.0,1.0,1.0,3
15178,GO:0090665,glycoprotein complex,2,0.0,1.0,1.0,3
15179,GO:0090693,plant organ senescence,2,0.0,1.0,1.0,2
15180,GO:0090713,immunological memory process,2,0.0,1.0,1.0,3
15181,GO:0090734,site of DNA damage,2,0.0,1.0,1.0,1
15182,GO:0097071,interferon regulatory factor complex,2,0.0,1.0,1.0,5
15183,GO:0097136,Bcl-2 family protein complex,2,0.0,1.0,1.0,12
15184,GO:0097159,organic cyclic compound binding,2,0.0,1.0,1.0,53
15185,GO:0097218,sieve plate,2,0.0,1.0,1.0,2
15186,GO:0097242,amyloid-beta clearance,2,0.0,1.0,1.0,2
15187,GO:0097243,flavonoid binding,2,0.0,1.0,1.0,4
15188,GO:0097427,microtubule bundle,2,0.0,1.0,1.0,4
15189,GO:0097493,structural molecule activity conferring elasticity,2,0.0,1.0,1.0,1
15190,GO:0097574,lateral part of cell,2,0.0,1.0,1.0,2
15191,GO:0097610,cell surface furrow,2,0.0,1.0,1.0,3
15192,GO:0097683,dinoflagellate apex,2,0.0,1.0,1.0,1
15193,GO:0097684,dinoflagellate antapex,2,0.0,1.0,1.0,1
15194,GO:0098021,"viral capsid, decoration",2,0.0,1.0,1.0,2
15195,GO:0098552,side of membrane,2,0.0,1.0,1.0,9
15196,GO:0098636,protein complex involved in cell adhesion,2,0.0,1.0,1.0,3
15197,GO:0098687,chromosomal region,2,0.0,1.0,1.0,6
15198,GO:0098727,maintenance of cell number,2,0.0,1.0,1.0,2
15199,GO:0098733,hemidesmosome associated protein complex,2,0.0,1.0,1.0,1
15200,GO:0098743,cell aggregation,2,0.0,1.0,1.0,2
15201,GO:0098793,presynapse,2,0.0,1.0,1.0,2
15202,GO:0098794,postsynapse,2,0.0,1.0,1.0,2
15203,GO:0098796,membrane protein complex,2,0.0,1.0,1.0,92
15204,GO:0098798,mitochondrial protein-containing complex,2,0.0,1.0,1.0,23
15205,GO:0098803,respiratory chain complex,2,0.0,1.0,1.0,8
