protein_id,GO_terms_molecular_function,GO_terms_biological_process,GO_terms_cellular_component
P06858,GO:0003674;GO:0003824;GO:0004465;GO:0004620;GO:0004806;GO:0005102;GO:0005488;GO:0005509;GO:0005515;GO:0005539;GO:0008201;GO:0008970;GO:0016298;GO:0016787;GO:0016788;GO:0030674;GO:0034185;GO:0036094;GO:0042802;GO:0042803;GO:0043167;GO:0043169;GO:0043394;GO:0043395;GO:0043495;GO:0044877;GO:0046872;GO:0046983;GO:0060090;GO:0071813;GO:0071814;GO:0097367;GO:1901681,GO:0001817;GO:0001819;GO:0006082;GO:0006629;GO:0006631;GO:0006633;GO:0006638;GO:0006639;GO:0006641;GO:0006644;GO:0006793;GO:0006796;GO:0007154;GO:0007165;GO:0007584;GO:0008150;GO:0008152;GO:0008610;GO:0009056;GO:0009058;GO:0009719;GO:0009743;GO:0009746;GO:0009749;GO:0009889;GO:0009891;GO:0009893;GO:0009987;GO:0010468;GO:0010556;GO:0010557;GO:0010604;GO:0010628;GO:0010743;GO:0010744;GO:0010883;GO:0010884;GO:0010885;GO:0010886;GO:0010889;GO:0010890;GO:0016042;GO:0016043;GO:0016053;GO:0019222;GO:0019433;GO:0019637;GO:0019752;GO:0023052;GO:0031347;GO:0031349;GO:0031667;GO:0031669;GO:0031670;GO:0032101;GO:0032103;GO:0032501;GO:0032642;GO:0032651;GO:0032652;GO:0032675;GO:0032680;GO:0032722;GO:0032731;GO:0032732;GO:0032755;GO:0032760;GO:0032787;GO:0032879;GO:0033993;GO:0034284;GO:0034367;GO:0034368;GO:0034369;GO:0034370;GO:0034371;GO:0034372;GO:0042221;GO:0042592;GO:0042632;GO:0043436;GO:0043933;GO:0044238;GO:0044281;GO:0044283;GO:0045595;GO:0045597;GO:0045598;GO:0045600;GO:0046394;GO:0046461;GO:0046464;GO:0046486;GO:0046503;GO:0048518;GO:0048522;GO:0048583;GO:0048584;GO:0048878;GO:0050727;GO:0050729;GO:0050789;GO:0050793;GO:0050794;GO:0050896;GO:0051094;GO:0051239;GO:0051240;GO:0051716;GO:0055088;GO:0055090;GO:0055092;GO:0055094;GO:0055095;GO:0055096;GO:0060255;GO:0065007;GO:0070328;GO:0070542;GO:0070887;GO:0071396;GO:0071398;GO:0071402;GO:0071404;GO:0071825;GO:0071827;GO:0071840;GO:0072330;GO:0080134;GO:0097006;GO:1901698;GO:1901700;GO:1901701;GO:1903555;GO:1903557;GO:1905952;GO:1905954;GO:2000341;GO:2000343,GO:0005575;GO:0005576;GO:0005615;GO:0032991;GO:0110165;GO:1902494
J3RZ81,,,
P27657,,,
P29183,,,
Q3SZ79,,,
O46559,,,
P07867,,,
Q53H76,GO:0003674;GO:0003824;GO:0004620;GO:0016298;GO:0016787;GO:0016788;GO:0052739,GO:0006575;GO:0006629;GO:0006644;GO:0006650;GO:0006658;GO:0006793;GO:0006796;GO:0008150;GO:0008152;GO:0009056;GO:0009987;GO:0016042;GO:0019637;GO:0036150;GO:0044238;GO:0046486,GO:0005575;GO:0005576;GO:0005615;GO:0110165
Q9BDJ4,,,
Q6DBU8,,,
P49923,,,
Q6NYZ4,,,
P0CH87,,,
Q6Q252,,,
P54315,GO:0003674;GO:0003824;GO:0004806;GO:0005488;GO:0005509;GO:0005515;GO:0016298;GO:0016787;GO:0016788;GO:0036094;GO:0043167;GO:0043169;GO:0046872,,GO:0005575;GO:0005576;GO:0005615;GO:0110165
P11150,GO:0003674;GO:0003824;GO:0004465;GO:0004620;GO:0004806;GO:0005488;GO:0005515;GO:0008970;GO:0016298;GO:0016787;GO:0016788;GO:0030169;GO:0034185;GO:0044877;GO:0071813;GO:0071814,GO:0006082;GO:0006629;GO:0006631;GO:0006633;GO:0006638;GO:0006639;GO:0006641;GO:0006644;GO:0006650;GO:0006793;GO:0006796;GO:0006810;GO:0006869;GO:0008150;GO:0008152;GO:0008610;GO:0009056;GO:0009058;GO:0009395;GO:0009987;GO:0010876;GO:0015850;GO:0015918;GO:0016042;GO:0016043;GO:0016053;GO:0019433;GO:0019637;GO:0019752;GO:0030301;GO:0032501;GO:0032787;GO:0033036;GO:0034367;GO:0034368;GO:0034369;GO:0034370;GO:0034372;GO:0034373;GO:0034374;GO:0034375;GO:0034381;GO:0034382;GO:0034638;GO:0042592;GO:0042632;GO:0043436;GO:0043691;GO:0043933;GO:0044238;GO:0044281;GO:0044283;GO:0046394;GO:0046434;GO:0046461;GO:0046464;GO:0046470;GO:0046475;GO:0046486;GO:0046503;GO:0048878;GO:0050789;GO:0051179;GO:0051234;GO:0055088;GO:0055090;GO:0055092;GO:0065007;GO:0070328;GO:0071825;GO:0071827;GO:0071830;GO:0071840;GO:0072330;GO:0097006,GO:0005575;GO:0005576;GO:0005615;GO:0005622;GO:0005737;GO:0005783;GO:0005788;GO:0012505;GO:0031974;GO:0043226;GO:0043227;GO:0043229;GO:0043231;GO:0043233;GO:0070013;GO:0110165
A2VBC4,,,
P06857,,,
